id,trailName,park,address,difficulty,length,createdAt,updatedAt
29,Charlestown State Park #2 Trail,Charlestown State Park,"Jersey Ave, Charlestown, IN 47111",Moderate,1.3,10/24/2019,10/24/2019
30,Charlestown State Park #4 Trail,Charlestown State Park,"Charlestown, Indiana 47111",Moderate,2.6,10/24/2019,10/24/2019
31,Charlestown State Park #6 Trail,Charlestown State Park,"Charlestown, Indiana 47111",Moderate,2.3,10/24/2019,10/24/2019
32,Charlestown Trail #3,Charlestown State Park,"Charlestown, Indiana 47111",Moderate,2.1,10/24/2019,10/24/2019
33,Charlestown Trail #5,Charlestown State Park,"Charlestown, Indiana 47111",Easy,1.8,10/24/2019,10/24/2019
34,Charlestown trail #7,Charlestown State Park,"Charlestown, Indiana 47111",Easy,2.1,10/24/2019,10/24/2019
35,City Falls #5 #4 #3 and #8 Loop,Clifty Falls State Park,"Tunnel Falls, Madison Township, IN 47250",Moderate,4,10/24/2019,10/24/2019
36,"City Falls, Hoffman Falls, Tunnel Falls",City Falls State Park,"Clifty Falls, Madison Township, IN 47250",Moderate,7,10/24/2019,10/24/2019
37,Clear Creek Rail-Trail,Bryan Park,"2761 S Keg Rd, Bloomington, IN 47403",Easy,4.6,10/24/2019,10/24/2019
38,Cliff Dweller Trail,O'Bannon Woods State Park,"Corydon, Indiana 47112",Moderate,1.7,10/24/2019,10/24/2019
39,Cliffy Falls Trail 7,Cliffy Falls State Park,"Clifty Falls, Madison Township, IN 47250",Moderate,1.9,10/24/2019,10/24/2019
40,Clifty Falls Trail 2,Clifty Falls State Park,"1400 N Cfp Canyon Rd, Madison, IN 47250",Easy,2,10/24/2019,10/24/2019
41,Clifty Falls Trails 8 and 2,Clifty Falls State Park,"2221 Clifty Dr, Madison, IN 47250",Moderate,3.2,10/24/2019,10/24/2019
42,Cobus Pond Loop,Cobus Creek County Park,"30680 Co Rd 8, Osceola, IN 46561",Easy,1.2,10/24/2019,10/24/2019
43,Cope Hollow Loop Trail,Charles C. Deam Wilderness,"Tower Ridge Rd, Bloomington, IN 47401",Moderate,10.5,10/24/2019,10/24/2019
44,Cowles Bog Trail,Indiana Dunes National Park,"1616-1446 N Mineral Springs Rd, Dune Acres, IN 46304",Moderate,4.3,10/24/2019,10/24/2019
45,Crooked Lake Nature Trail,,"1040 E 700 N, Columbia City, IN 46725",Easy,1.9,10/24/2019,10/24/2019
46,Deep River Hike,Deep River County Park,"9300 Old Lincoln Hwy, Hobart, IN 46342",Easy,2.7,10/24/2019,10/24/2019
47,DePauw Nature Trail,DePauw Nature Park,"Greencastle, Indiana 46135",Easy,3.9,10/24/2019,10/24/2019
48,Dream Lake Loop (Yellow Trail),Dream Lake State Recreation Area,"Borden, Indiana 47106",Moderate,6.5,10/24/2019,10/24/2019
49,Dune Ridge Trail,Indiana Dunes National Park,"Dune Ridge Trail, Chesterton, IN 46304",Moderate,0.9,10/24/2019,10/24/2019
50,Dune Succession and West Bech Walk,Indiana Dunes National Park,"W Beach Rd, Gary, IN 46403",Easy,2.7,10/24/2019,10/24/2019
51,Eagle Creek Color-Combo Loop,Eagle Creek Park,"Reed Rd, Indianapolis, IN 46254",Easy,6.2,10/24/2019,10/24/2019
52,Eagle Creek Internal Loop,Eagle Creek Park,"Reed Rd, Indianapolis, IN 46254",Easy,5.8,10/24/2019,10/24/2019
53,Eagle Creek Orange Trail,Eagle Creek Park,"Reed Rd, Indianapolis, IN 46254",Easy,2.8,10/24/2019,10/24/2019
54,Eagle Creek Volksmarch and South Overlook Loop,Eagle Creek Park,"W 69th St, Indianapolis, IN 46278",Easy,2.7,10/24/2019,10/24/2019
55,Eagle's Crest Trail,Eagle Creek Park,"8201 W 56th St, Indianapolis, IN 46234",Moderate,4.8,10/24/2019,10/24/2019
56,Elliot Woods Trail - Prairie Creek Park,,"2800-3200 W French Dr, Farmersburg, IN 47850",Moderate,1.9,10/24/2019,10/24/2019
57,Ellis Park to Blanton Woods Trail,Ellis Park,"600 E Main St, Danville, IN 46122",Easy,3.3,10/24/2019,10/24/2019
58,Erica Lackawanna Trail,Pettit Park,"1003 N Main St, Crown Point, IN 46307",Easy,16.1,10/24/2019,10/24/2019
59,Fall Creek Gorge Nature Preserve,Fall Creek Gorge Nature Preserve,"1598-1220 N 025 E, Williamsport, IN 47993",Moderate,1,10/24/2019,10/24/2019
60,Fall Creek Greenway,,"2458 N Pennsylvania St, Indianapolis, IN 46205",Easy,17.6,10/24/2019,10/24/2019
61,Falls Canyon Trail,McCormicks Creek State Park,"451 McCormick Creek Park Rd, Spencer, IN 47460",Hard,4.9,10/24/2019,10/24/2019
62,Ferdinand State Forest Loop,,"Birdseye, Indiana 47513",Moderate,8.4,10/24/2019,10/24/2019
63,Flat Fort Creek Park Loop,Flat Fort Creek Park,"16141 E 101st St, Fortville, IN 46040",Easy,3.4,10/24/2019,10/24/2019
64,Flowing Well Park,Flowing Well Park,"5100 E 116th St, Carmel, IN 46033",Easy,1.1,10/24/2019,10/24/2019
65,Fort Benjamin Harrison MTB Loop,For Harrison State Park,"Shafter Rd, Indianapolis, IN 46216",Moderate,6.3,10/24/2019,10/24/2019
66,Fowl Sanctuary South Overlook Trail,Eage Creek Park,"W 69th St, Indianapolis, IN 46278",Moderate,6.4,10/24/2019,10/24/2019
67,Fox Island Full Loop,Fox Island Park,"Nature Center Rd, Fort Wayne, IN 46809",Moderate,3.6,10/24/2019,10/24/2019
68,Fox Island Trail,Fox Island Trail,"Fox Island Entrance Rd, Fort Wayne, IN 46809",Easy,2.2,10/24/2019,10/24/2019
69,France Park,,"Logansport, Indiana 46947",Moderate,2.2,10/24/2019,10/24/2019
70,Franke Park Area Trails,J.B. Franke Park,"Franke Park W Loop, Fort Wayne, IN 46808",Moderate,6.3,10/24/2019,10/24/2019
71,Franklin Greenway Trail,,"Greenway Trail, Franklin, IN 46131",Easy,6.1,10/24/2019,10/24/2019
72,German Ridge Trail,German Ridge Recreation Area,"Derby, Indiana 47525",Moderate,16.8,10/24/2019,10/24/2019
73,Glidewell Trail,Brookeville Recreation Area,"Mounds Beach Rd, Brookville, IN 47012",Moderate,3.1,10/24/2019,10/24/2019
74,Griffy Lake Nature Preserve Loop Trail,Griffy Lake Nature Preserve,"3009 N Headley Rd, Bloomington, IN 47408",Moderate,2.4,10/24/2019,10/24/2019
75,Griffy Reservoir North Shore Trail,Griffy Lake Nature Perserve,"N Headley Rd, Bloomington, IN 47408",Moderate,2.8,10/24/2019,10/24/2019
